x	y	Label
0.22	0.76	0
0.74	0.93	0
0.98	0.59	1
0.25	0.10	1
0.54	0.53	1
0.04	0.75	0
0.34	0.96	0
0.68	0.62	1
0.91	0.22	1
0.76	0.69	1
0.19	0.96	0
0.45	0.51	0
0.71	0.58	1
0.93	0.03	1
0.92	0.79	1
0.01	0.14	0
0.65	0.08	1
0.42	0.18	1
0.52	0.97	0
0.96	0.33	1
0.45	0.28	1
0.16	0.75	0
0.41	0.96	0
0.70	0.66	1
0.73	0.79	0
0.95	0.40	1
0.37	0.11	1
0.42	0.30	1
0.87	0.38	1
0.88	0.86	1
0.55	0.19	1
0.28	0.79	0
0.54	0.93	0
0.09	0.61	0
0.96	0.95	1
0.31	0.90	0
0.75	0.55	1
0.13	0.54	0
0.33	0.88	0
0.19	0.13	1
0.74	0.24	1
0.67	0.45	1
0.68	0.25	1
0.53	0.03	1
0.61	0.47	1
0.65	0.29	1
0.87	0.40	1
0.49	0.45	1
0.18	0.80	0
0.91	0.79	1
